date,10m_u_component_of_wind_min,10m_u_component_of_wind_mean,10m_u_component_of_wind_max,10m_v_component_of_wind_min,10m_v_component_of_wind_mean,10m_v_component_of_wind_max,2m_temperature_min,2m_temperature_mean,2m_temperature_max,2m_dewpoint_temperature_min,2m_dewpoint_temperature_mean,2m_dewpoint_temperature_max,surface_solar_radiation_downwards_min,surface_solar_radiation_downwards_mean,surface_solar_radiation_downwards_max,total_cloud_cover_min,total_cloud_cover_mean,total_cloud_cover_max,utci_min,utci_mean,utci_max
1979-01-01,-3.0670738,-1.867526,-0.56876975,-0.30140683,0.18928783,0.7462895,291.35107,296.05215,300.3304,288.88486,291.1566,292.6149,0.0,725847.3,2601693.0,0.0410552,0.17250933,0.31963035,288.83475,294.9677327473958,303.75812
1979-01-02,-3.5469267,-2.1390965,-0.65953994,-0.28410608,0.31230253,0.9220837,291.05615,295.71863,300.1158,288.76828,290.6802,292.50195,0.0,720973.7,2487681.8,0.045521405,0.22517796,0.4426435,288.83475,294.9677327473958,303.75812
1979-01-03,-3.1408715,-1.6730999,-0.22842766,-0.39571688,0.28116664,1.0559092,290.70218,295.39786,300.44223,286.18417,289.63083,291.73154,0.0,760763.0,2662033.5,0.012220918,0.14313303,0.2985516,288.16193,295.2119954427083,304.4884
1979-01-04,-2.3911583,-1.2455598,0.10883245,-0.13726526,0.6189209,1.0294999,290.5391,295.78,300.64758,287.8964,289.85263,291.81512,0.0,805415.3,2881620.8,0.0026623318,0.09259961,0.3725255,287.76254,295.52939860026044,305.542
1979-01-05,-1.9180055,-0.89032894,0.38968608,0.16244702,0.6155439,1.035943,291.4925,296.1267,300.85995,288.38943,289.93185,291.3524,0.0,778085.5,2897728.8,0.056254204,0.29586294,0.6911286,287.79126,296.37204996744794,306.5154
1979-01-06,-2.932747,-1.4449579,-0.076450415,0.0236698,0.48773852,1.1006185,291.1123,295.69595,300.82175,288.18533,290.11996,291.37402,0.0,738870.06,2775796.5,0.067115925,0.37339267,0.64328253,288.94058,296.19240315755206,305.47858
1979-01-07,-2.7448936,-1.5358299,-0.2316304,-0.03533833,0.3893623,0.9022501,291.21158,295.61392,300.3782,287.98932,290.41992,292.44412,0.0,713144.06,2704724.2,0.113614894,0.40450692,0.76485956,289.19733,295.9335530598958,304.86783
1979-01-08,-1.4657202,-0.8674264,0.056622896,-0.007592734,0.57057524,1.1409478,290.01697,295.53302,300.22495,287.91937,289.8749,291.8988,0.0,720596.7,2612334.5,0.30793965,0.7197754,0.9330851,288.6546,296.143798828125,305.98526
1979-01-09,-2.1410003,-1.016949,0.28516397,-0.8431747,0.13050999,0.85440224,290.14572,295.5956,300.783,287.3279,289.7101,292.09113,0.0,777104.5,2799460.5,0.0139303235,0.22856565,0.49984488,288.1684,296.0635172526042,306.39642
1979-01-10,-3.013941,-1.5826439,-0.056254003,-0.60234946,0.14783853,0.98695207,290.08752,295.11475,300.80283,285.16254,288.9968,291.5272,0.0,784732.2,2733328.2,0.0019713049,0.1313965,0.3665623,287.89087,295.2337239583333,304.75018
